test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMapLSGet 500000 2486 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.188s 100
BenchmarkHashMapLSGet 500000 2524 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.230s 100
BenchmarkHashMapLSGet 500000 2534 ns/op 255 B/op 4 allocs/op ok command-line-arguments 2.230s 100
BenchmarkHashMapLSGet 500000 2653 ns/op 301 B/op 4 allocs/op ok command-line-arguments 1.382s 100
BenchmarkHashMapLSGet 500000 2404 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.118s 100
BenchmarkHashMapLSGet 500000 2479 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.129s 100
BenchmarkHashMapLSGet 500000 2525 ns/op 247 B/op 4 allocs/op ok command-line-arguments 2.180s 100
BenchmarkHashMapLSGet 500000 2563 ns/op 250 B/op 4 allocs/op ok command-line-arguments 2.228s 100
BenchmarkHashMapLSGet 500000 2484 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.172s 100
BenchmarkHashMapLSGet 500000 2473 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.147s 100
BenchmarkHashMapLSGet 500000 2557 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.204s 100
BenchmarkHashMapLSGet 500000 2516 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.205s 100
BenchmarkHashMapLSGet 500000 2480 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.153s 100
BenchmarkHashMapLSGet 500000 2459 ns/op 249 B/op 4 allocs/op ok command-line-arguments 2.137s 100
BenchmarkHashMapLSGet 500000 2404 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.138s 100
BenchmarkHashMapLSGet 500000 2445 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.116s 100
BenchmarkHashMapLSGet 500000 2417 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.112s 100
BenchmarkHashMapLSGet 500000 2524 ns/op 260 B/op 4 allocs/op ok command-line-arguments 2.189s 100
