test_name total_test_iteration time_per_op time_per_op_un size_per_op size_per_op_un allocs_per_op allocs_per_op_un flag1 flag2 exec_time num
BenchmarkHashMap1 500000 2619 ns/op 256 B/op 4 allocs/op ok command-line-arguments 2.218s 100
BenchmarkHashMap1 500000 2488 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.171s 100
BenchmarkHashMap1 500000 2611 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.242s 100
BenchmarkHashMap1 500000 2507 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.180s 100
BenchmarkHashMap1 500000 2473 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.168s 100
BenchmarkHashMap1 500000 2523 ns/op 250 B/op 4 allocs/op ok command-line-arguments 2.126s 100
BenchmarkHashMap1 500000 2600 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.224s 100
BenchmarkHashMap1 500000 2806 ns/op 294 B/op 4 allocs/op ok command-line-arguments 1.457s 100
BenchmarkHashMap1 500000 2528 ns/op 247 B/op 4 allocs/op ok command-line-arguments 2.203s 100
BenchmarkHashMap1 500000 2568 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.221s 100
BenchmarkHashMap1 500000 2527 ns/op 255 B/op 4 allocs/op ok command-line-arguments 2.191s 100
BenchmarkHashMap1 500000 2576 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.208s 1000
BenchmarkHashMap1 500000 2519 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.182s 1000
BenchmarkHashMap1 500000 2537 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.196s 1000
BenchmarkHashMap1 500000 2534 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.209s 1000
BenchmarkHashMap1 500000 2586 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.211s 1000
BenchmarkHashMap1 500000 2601 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.208s 1000
BenchmarkHashMap1 500000 2523 ns/op 257 B/op 5 allocs/op ok command-line-arguments 2.184s 1000
BenchmarkHashMap1 500000 2526 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.149s 1000
BenchmarkHashMap1 500000 2571 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.232s 1000
BenchmarkHashMap1 500000 2506 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.176s 1000
BenchmarkHashMap1 500000 2599 ns/op 268 B/op 5 allocs/op ok command-line-arguments 2.192s 1000
BenchmarkHashMap1 500000 2613 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.287s 10000
BenchmarkHashMap1 500000 2565 ns/op 261 B/op 6 allocs/op ok command-line-arguments 2.276s 10000
BenchmarkHashMap1 500000 2604 ns/op 261 B/op 6 allocs/op ok command-line-arguments 2.268s 10000
BenchmarkHashMap1 500000 2590 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.280s 10000
BenchmarkHashMap1 500000 2568 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.274s 10000
BenchmarkHashMap1 500000 2508 ns/op 257 B/op 6 allocs/op ok command-line-arguments 2.270s 10000
BenchmarkHashMap1 500000 2578 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.273s 10000
BenchmarkHashMap1 500000 2518 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.208s 10000
BenchmarkHashMap1 500000 2638 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.298s 10000
BenchmarkHashMap1 500000 2554 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.281s 10000
BenchmarkHashMap1 500000 2613 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.293s 10000
BenchmarkHashMap1 500000 2666 ns/op 273 B/op 6 allocs/op ok command-line-arguments 2.744s 100000
BenchmarkHashMap1 500000 2600 ns/op 277 B/op 6 allocs/op ok command-line-arguments 2.499s 100000
BenchmarkHashMap1 500000 2669 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.733s 100000
BenchmarkHashMap1 500000 2636 ns/op 274 B/op 6 allocs/op ok command-line-arguments 2.729s 100000
BenchmarkHashMap1 500000 2665 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.735s 100000
BenchmarkHashMap1 500000 2564 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.715s 100000
BenchmarkHashMap1 500000 2608 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.721s 100000
BenchmarkHashMap1 500000 2624 ns/op 271 B/op 6 allocs/op ok command-line-arguments 2.728s 100000
BenchmarkHashMap1 500000 2621 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.700s 100000
BenchmarkHashMap1 500000 2618 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.707s 100000
BenchmarkHashMap1 500000 2621 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.708s 100000
BenchmarkHashMapLS1 500000 2589 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.211s 100
BenchmarkHashMapLS1 500000 2625 ns/op 254 B/op 4 allocs/op ok command-line-arguments 2.271s 100
BenchmarkHashMapLS1 500000 2528 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.211s 100
BenchmarkHashMapLS1 500000 2600 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.237s 100
BenchmarkHashMapLS1 500000 2611 ns/op 251 B/op 4 allocs/op ok command-line-arguments 2.291s 100
BenchmarkHashMapLS1 500000 2590 ns/op 247 B/op 4 allocs/op ok command-line-arguments 2.259s 100
BenchmarkHashMapLS1 500000 2520 ns/op 250 B/op 4 allocs/op ok command-line-arguments 2.196s 100
BenchmarkHashMapLS1 500000 2542 ns/op 258 B/op 4 allocs/op ok command-line-arguments 2.202s 100
BenchmarkHashMapLS1 500000 2508 ns/op 252 B/op 4 allocs/op ok command-line-arguments 2.177s 100
BenchmarkHashMapLS1 500000 2598 ns/op 253 B/op 4 allocs/op ok command-line-arguments 2.255s 100
BenchmarkHashMapLS1 500000 2472 ns/op 248 B/op 4 allocs/op ok command-line-arguments 2.149s 100
BenchmarkHashMapLS1 500000 2542 ns/op 266 B/op 5 allocs/op ok command-line-arguments 2.211s 1000
BenchmarkHashMapLS1 500000 2664 ns/op 263 B/op 5 allocs/op ok command-line-arguments 2.296s 1000
BenchmarkHashMapLS1 500000 2570 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.264s 1000
BenchmarkHashMapLS1 500000 2599 ns/op 264 B/op 5 allocs/op ok command-line-arguments 2.272s 1000
BenchmarkHashMapLS1 500000 2509 ns/op 256 B/op 5 allocs/op ok command-line-arguments 2.204s 1000
BenchmarkHashMapLS1 500000 2607 ns/op 261 B/op 5 allocs/op ok command-line-arguments 2.243s 1000
BenchmarkHashMapLS1 500000 2619 ns/op 259 B/op 5 allocs/op ok command-line-arguments 2.266s 1000
BenchmarkHashMapLS1 500000 2642 ns/op 262 B/op 5 allocs/op ok command-line-arguments 2.289s 1000
BenchmarkHashMapLS1 500000 2614 ns/op 260 B/op 5 allocs/op ok command-line-arguments 2.275s 1000
BenchmarkHashMapLS1 500000 2653 ns/op 265 B/op 5 allocs/op ok command-line-arguments 2.262s 1000
BenchmarkHashMapLS1 500000 2559 ns/op 267 B/op 5 allocs/op ok command-line-arguments 2.219s 1000
BenchmarkHashMapLS1 500000 2690 ns/op 261 B/op 6 allocs/op ok command-line-arguments 2.334s 10000
BenchmarkHashMapLS1 500000 2614 ns/op 261 B/op 6 allocs/op ok command-line-arguments 2.283s 10000
BenchmarkHashMapLS1 500000 2664 ns/op 263 B/op 6 allocs/op ok command-line-arguments 2.324s 10000
BenchmarkHashMapLS1 500000 2656 ns/op 257 B/op 6 allocs/op ok command-line-arguments 2.310s 10000
BenchmarkHashMapLS1 500000 2546 ns/op 266 B/op 6 allocs/op ok command-line-arguments 2.260s 10000
BenchmarkHashMapLS1 500000 2640 ns/op 258 B/op 6 allocs/op ok command-line-arguments 2.286s 10000
BenchmarkHashMapLS1 500000 2639 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.329s 10000
BenchmarkHashMapLS1 500000 2694 ns/op 259 B/op 6 allocs/op ok command-line-arguments 2.354s 10000
BenchmarkHashMapLS1 500000 2639 ns/op 261 B/op 6 allocs/op ok command-line-arguments 2.298s 10000
BenchmarkHashMapLS1 500000 2688 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.299s 10000
BenchmarkHashMapLS1 500000 2631 ns/op 264 B/op 6 allocs/op ok command-line-arguments 2.283s 10000
BenchmarkHashMapLS1 500000 2743 ns/op 268 B/op 6 allocs/op ok command-line-arguments 2.836s 100000
BenchmarkHashMapLS1 500000 2669 ns/op 316 B/op 6 allocs/op ok command-line-arguments 1.806s 100000
BenchmarkHashMapLS1 500000 2670 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.783s 100000
BenchmarkHashMapLS1 500000 2699 ns/op 272 B/op 6 allocs/op ok command-line-arguments 2.720s 100000
BenchmarkHashMapLS1 500000 2652 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.719s 100000
BenchmarkHashMapLS1 500000 2676 ns/op 269 B/op 6 allocs/op ok command-line-arguments 2.782s 100000
BenchmarkHashMapLS1 500000 2713 ns/op 267 B/op 6 allocs/op ok command-line-arguments 2.786s 100000
BenchmarkHashMapLS1 500000 2756 ns/op 274 B/op 6 allocs/op ok command-line-arguments 2.789s 100000
BenchmarkHashMapLS1 500000 2596 ns/op 270 B/op 6 allocs/op ok command-line-arguments 2.707s 100000
BenchmarkHashMapLS1 500000 2740 ns/op 265 B/op 6 allocs/op ok command-line-arguments 2.800s 100000
BenchmarkHashMapLS1 500000 2851 ns/op 318 B/op 6 allocs/op ok command-line-arguments 1.859s 100000
